step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
16200	0.7197	0.3843	0.0358	1.0000	1	595.9	22.6979	0.000085
16400	0.7095	0.3461	0.0391	1.0000	1	595.9	20.1240	0.000085
16600	0.6936	0.3931	0.0371	1.0000	1	595.9	19.0495	0.000084
16800	0.7536	0.3449	0.0400	1.0000	1	595.9	19.8790	0.000084
17000	0.6843	0.3998	0.0410	1.0000	1	595.9	26.6367	0.000083
17200	0.6222	0.3546	0.0400	1.0000	1	595.9	15.5745	0.000083
17400	0.7824	0.3840	0.0387	1.0000	1	595.9	16.1574	0.000082
17600	0.7637	0.3532	0.0409	1.0000	1	595.9	16.3265	0.000082
17800	0.6715	0.3880	0.0349	1.0000	1	595.9	24.7924	0.000081
18000	0.7239	0.3743	0.0459	1.0000	1	595.9	20.1985	0.000081
18200	0.7419	0.3682	0.0379	1.0000	1	595.9	22.8792	0.000080
18400	0.7201	0.3686	0.0372	1.0000	1	595.9	23.1162	0.000080
18600	0.7373	0.3887	0.0401	1.0000	1	595.9	40.3895	0.000079
18800	0.7281	0.3493	0.0377	1.0000	1	595.9	65.1404	0.000079
19000	0.7289	0.3220	0.0400	1.0000	1	595.9	48.8710	0.000078
19200	0.6747	0.3480	0.0381	1.0000	1	595.9	20.2114	0.000077
19400	0.7050	0.3300	0.0406	1.0000	1	595.9	19.3857	0.000077
19600	0.7005	0.3548	0.0380	1.0000	1	595.9	17.6033	0.000076
19800	0.6761	0.3718	0.0405	1.0000	1	595.9	20.3683	0.000076
20000	0.7934	0.3638	0.0340	1.0000	1	595.9	51.3066	0.000075
20200	0.6639	0.3884	0.0359	1.0000	1	595.9	22.4378	0.000074
20400	0.7148	0.3396	0.0411	1.0000	1	595.9	28.1354	0.000074
20600	0.6832	0.3565	0.0385	1.0000	1	595.9	18.8518	0.000073
20800	0.7275	0.3927	0.0399	1.0000	1	595.9	18.0009	0.000073
21000	0.6989	0.3591	0.0395	1.0000	1	595.9	20.6505	0.000072
21200	0.7002	0.3722	0.0355	1.0000	1	595.9	19.9944	0.000071
21400	0.8063	0.3667	0.0372	1.0000	1	595.9	29.5206	0.000071
21600	0.6732	0.3521	0.0358	1.0000	1	595.9	18.6625	0.000070
21800	0.7296	0.3174	0.0376	1.0000	1	595.9	17.9824	0.000069
22000	0.6931	0.3918	0.0368	1.0000	1	595.9	24.5173	0.000069
22200	0.6563	0.3994	0.0377	1.0000	1	595.9	17.5230	0.000068
22400	0.7093	0.3704	0.0417	1.0000	1	595.9	15.3254	0.000067
22600	0.6599	0.3776	0.0369	1.0000	1	595.9	25.3160	0.000067
22800	0.7748	0.3248	0.0399	1.0000	1	595.9	16.9366	0.000066
23000	0.7130	0.4385	0.0362	1.0000	1	595.9	23.7947	0.000065
23200	0.7102	0.3684	0.0414	1.0000	1	595.9	18.1965	0.000065
23400	0.6742	0.3671	0.0396	1.0000	1	595.9	18.3337	0.000064
23600	0.6781	0.3742	0.0374	1.0000	1	595.9	22.3758	0.000063
23800	0.7663	0.3363	0.0424	1.0000	1	595.9	21.7165	0.000063
24000	0.7206	0.3764	0.0383	1.0000	1	595.9	19.7418	0.000062
24200	0.6848	0.3572	0.0363	1.0000	1	595.9	24.2983	0.000061
24400	0.7020	0.3375	0.0421	1.0000	1	595.9	42.8833	0.000061
24600	0.6548	0.3712	0.0391	1.0000	1	595.9	25.5492	0.000060
24800	0.7965	0.3553	0.0405	1.0000	1	595.9	32.5179	0.000059
