step,total_steps,progress_pct,epoch,resolved_epochs,epoch_pct,iter,steps_per_epoch,seen,epoch_items,phase,ms_per_update,lr,updates_per_s,samples_per_s,eta_seconds,loss_total,l1,sem,stft,sc,cx,sgrad,stft_cos,mel,lin,cos_pct,ema_cos_pct,grad_norm,vq_loss,marg_ent,u0,u1,u2,u3,stft_weight,sem_weight,vq_weight,adv_weight,marginal_weight,balancer,epochs_per_hour,seconds_per_epoch,run,source_file,ae_l1,ae_cos_pct,ae_anchor,sisdr_loss,preemph,fm_weight,run_rows,run_last_step,run_label,run_label_wrapped,run_detail,phase_path
5,5,100.0,1,1,1.3812,5,362,1440,104014,ae,2001.284,2.57294902e-05,0.499679,143.907609,0.0,4.358679,0.135742,0.0,2.081654,1.055881,0.67821,0.834336,0.269657,2.179507,0.754256,-6.543,-6.543,58.75,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,off,4.969185,724.464818,20260426_085432,experiments\20260426_085432\logs.csv,,,,,,,1,5,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.00, vq=0.00, run 085432",ae
5,5,100.0,1,1,1.3812,5,362,1440,104014,ae,2171.3549,2.57294902e-05,0.460542,132.636078,0.0,38.376892,0.132812,0.0,3.246443,1.053455,0.673953,0.834719,0.274918,3.435608,0.766698,-6.543,-6.543,243.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,grad,4.579975,786.030479,20260426_085358,experiments\20260426_085358\logs.csv,,,,,,,1,5,AE only: grad balancer,AE only: grad balancer,"ae; stft=1.00, vq=0.00, run 085358",ae
5,5,100.0,1,1,1.2285,5,407,1280,104014,ae,9005.2581,2.57294902e-05,0.111046,28.427836,0.0,7.790593,0.122559,0.0,3.591896,1.062199,2.342453,0.802293,1.039845,2.86514,3.180914,0.1549,0.1549,77.5,0.0,0.0,,,,,1.25,0.0,0.0,0.0,0.0,off,0.982227,3665.140059,20260426_093342,experiments\20260426_093342\logs.csv,,,,,,,1,5,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093342",ae
5,5,100.0,1,1,1.3812,5,362,1440,104014,ae,1999.8407,2.57294902e-05,0.50004,144.011468,0.0,5.693802,0.144531,0.0,2.063258,1.096945,0.688531,0.834289,0.269992,2.196844,0.697702,-6.543,-6.543,90.0,0.0,0.0,,,,,1.25,0.0,0.0,0.0,0.0,off,4.972772,723.942347,20260426_085612,experiments\20260426_085612\logs.csv,,,,,,,1,5,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 085612",ae
5,5,100.0,1,1,1.2285,5,407,1280,104014,ae,9962.8046,2.57294902e-05,0.100373,25.695576,0.0,7.40502,0.135742,0.0,3.252947,1.162363,2.041157,0.804262,0.944312,2.660787,2.560718,0.1427,0.1427,115.5,0.0,0.0,,,,,1.25,0.0,0.0,0.0,0.0,off,0.887823,4054.861454,20260426_093232,experiments\20260426_093232\logs.csv,,,,,,,1,5,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093232",ae
6,6,100.0,1,1,0.0115,6,52007,12,104014,D/full,323.6249,2.40192379e-05,3.089997,6.179994,0.0,15.55554,0.066895,0.0,3.17256,0.999028,0.409411,0.836338,0.206862,3.477527,0.528262,0.6256,-0.0235,39.75,12.75,0.714844,4/64,5/32,2/16,,0.125234,0.0,0.25,0.0,0.179975,grad,0.213894,16830.759605,20260425_182617,experiments\20260425_182617\logs.csv,,,,,,,6,6,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.13, vq=0.25, run 182617",A/AE -> B/RVQ -> D/full
8,8,100.0,1,1,1.9656,8,407,2048,104014,D/full,1317.5555,2.2283614e-05,0.758981,194.299222,0.0,45.130487,0.099609,0.0,3.370774,1.002445,0.581002,0.860363,0.303554,3.733099,0.738163,0.0938,-0.6788,171.0,3.15625,0.003693,1/256,1/128,,,0.65,0.0,0.5,0.0,0.499927,grad,6.713348,536.245071,20260426_185639,experiments\20260426_185639\logs.csv,0.116699,0.0999,0.158203,11.831801,,,2,8,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185639",B/RVQ -> D/full
8,8,100.0,1,1,1.9656,8,407,2048,104014,D/full,1279.966,2.2283614e-05,0.781271,200.005313,0.0,10.129375,0.114258,0.0,2.327467,1.068408,0.582524,0.849526,0.281824,2.639569,0.618056,-0.1137,-0.1137,87.0,3.15625,0.0,1/256,1/128,,,1.25,0.0,0.5,0.0,0.499927,off,6.910503,520.946161,20260426_155815,experiments\20260426_155815\logs.csv,0.108887,-0.1045,0.154297,,,,1,8,full model: balancer OFF,full model: balancer OFF,"D/full; stft=1.25, vq=0.50, run 155815",D/full
8,8,100.0,1,1,0.0154,8,52007,16,104014,D/full,1600.679,2.2283614e-05,0.624735,1.24947,0.0,13.638056,0.099121,0.0,3.918637,1.00026,0.558797,0.846795,0.241573,4.23421,0.701756,0.1709,0.1488,40.25,0.294922,3.046875,10/64,18/32,14/16,,0.125328,0.0,0.25,0.0,0.179965,grad,0.043245,83246.511731,20260426_081053,experiments\20260426_081053\logs.csv,,,,,,,8,8,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.13, vq=0.25, run 081053",A/AE -> B/RVQ -> D/full
8,8,100.0,1,1,1.9656,8,407,2048,104014,D/full,1254.6237,2.2283614e-05,0.797052,204.045238,0.0,15.886396,0.102539,0.0,3.749442,1.009902,0.585979,0.859848,0.307465,4.145324,0.746517,-0.1053,-0.7926,163.0,2.78125,0.0,1/256,1/128,,,0.65,0.0,0.5,0.0,0.499927,off,7.050089,510.631863,20260426_185815,experiments\20260426_185815\logs.csv,0.132812,-0.1579,0.166016,10.817806,,,2,8,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185815",B/RVQ -> D/full
