45000	0.5787	0.0000	0.0237	1.0000	1	752.0	86.1261	0.000000
45200	1.0253	0.0000	0.0228	1.0000	1	752.0	111.5311	0.000001
45400	0.5249	0.0000	0.0198	1.0000	1	752.0	118.9828	0.000003
45600	0.6180	0.0000	0.0242	1.0000	1	752.0	56.3244	0.000004
45800	0.5949	0.0000	0.0218	1.0000	1	752.0	60.3368	0.000005
46000	0.6285	0.0000	0.0207	1.0000	1	752.0	164.7256	0.000007
46200	0.5967	0.0000	0.0213	1.0000	1	752.0	160.6031	0.000008
46400	0.5709	0.0000	0.0218	1.0000	1	752.0	68.2572	0.000009
46600	0.6043	0.0000	0.0216	1.0000	1	752.0	54.4894	0.000011
46800	0.5620	0.0000	0.0228	1.0000	1	752.0	44.6141	0.000012
47000	0.5763	0.0000	0.0216	1.0000	1	752.0	46.5283	0.000013
47200	0.6218	0.0000	0.0217	1.0000	1	752.0	46.1536	0.000015
47400	0.5398	0.0000	0.0220	1.0000	1	752.0	53.5785	0.000016
47600	0.6187	0.0000	0.0225	1.0000	1	752.0	61.8628	0.000017
47800	0.5267	0.0000	0.0202	1.0000	1	752.0	35.8096	0.000019
48000	0.6037	0.0000	0.0233	1.0000	1	752.0	99.4513	0.000020
48200	0.5570	0.0000	0.0211	1.0000	1	752.0	33.4218	0.000021
48400	0.5825	0.0000	0.0216	1.0000	1	752.0	125.9769	0.000023
48600	0.6232	0.0000	0.0214	1.0000	1	752.0	73.7208	0.000024
48800	0.6070	0.0000	0.0237	1.0000	1	752.0	87.3811	0.000025
49000	0.5599	0.0000	0.0213	1.0000	1	752.0	98.1198	0.000027
49200	0.6065	0.0000	0.0213	1.0000	1	752.0	138.0403	0.000028
49400	0.5941	0.0000	0.0234	1.0000	1	752.0	70.4818	0.000029
49600	0.5688	0.0000	0.0203	1.0000	1	752.0	73.7978	0.000031
49800	0.5947	0.0000	0.0223	1.0000	1	752.0	93.2437	0.000032
50000	0.6042	0.0000	0.0217	1.0000	1	752.0	35.9450	0.000033
50200	0.6094	0.0000	0.0212	1.0000	1	752.0	38.8218	0.000035
50400	0.5416	0.0000	0.0218	1.0000	1	752.0	38.9659	0.000036
50600	0.5546	0.0000	0.0207	1.0000	1	752.0	68.7806	0.000037
50800	0.5698	0.0000	0.0219	1.0000	1	752.0	60.8583	0.000039
51000	0.5919	0.0000	0.0218	1.0000	1	752.0	36.0613	0.000040
51200	0.5560	0.0000	0.0204	1.0000	1	752.0	105.4191	0.000041
51400	0.6068	0.0000	0.0199	1.0000	1	752.0	33.5003	0.000043
51600	0.5446	0.0000	0.0209	1.0000	1	752.0	106.6736	0.000044
51800	0.5933	0.0000	0.0209	1.0000	1	752.0	1991.2635	0.000045
52000	0.5428	0.0000	0.0209	1.0000	1	752.0	104.1904	0.000047
