step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
0	2.1238	0.0000	0.0358	1.0000	1	595.9	68.4520	0.000050
200	0.8744	0.0000	0.0347	1.0000	1	595.9	99.8338	0.000051
400	0.7667	0.0000	0.0345	1.0000	1	595.9	83.0045	0.000051
600	0.7793	0.0000	0.0323	1.0000	1	595.9	50.7407	0.000052
800	0.7546	0.0000	0.0353	1.0000	1	595.9	54.8490	0.000053
1000	0.9141	0.0000	0.0370	1.0000	1	595.9	54.8949	0.000053
1200	0.7665	0.0000	0.0365	1.0000	1	595.9	68.6375	0.000054
1400	1.1506	0.0000	0.0438	1.0000	1	595.9	91.8215	0.000055
1600	0.7018	0.0000	0.0357	1.0000	1	595.9	83.4471	0.000055
1800	0.7495	0.0000	0.0386	1.0000	1	595.9	47.2668	0.000056
2000	0.6981	0.0000	0.0387	1.0000	1	595.9	78.5258	0.000057
2200	0.7208	0.0000	0.0396	1.0000	1	595.9	144.8603	0.000057
2400	0.7474	0.0000	0.0383	1.0000	1	595.9	47.0123	0.000058
2600	0.6397	0.0000	0.0382	1.0000	1	595.9	75.7630	0.000059
2800	0.7558	0.0000	0.0412	1.0000	1	595.9	89.2067	0.000059
3000	0.7094	0.0000	0.0414	1.0000	1	595.9	57.0578	0.000060
3200	0.7001	0.0000	0.0411	1.0000	1	595.9	32.1030	0.000061
3400	0.6068	0.0000	0.0427	1.0000	1	595.9	61.5573	0.000061
3600	0.6859	0.0000	0.0413	1.0000	1	595.9	49.2261	0.000062
3800	0.6830	0.0000	0.0426	1.0000	1	595.9	47.6622	0.000063
4000	0.6817	0.0000	0.0427	1.0000	1	595.9	135.4894	0.000063
4200	0.6421	0.0000	0.0397	1.0000	1	595.9	89.2451	0.000064
4400	0.6497	0.0000	0.0403	1.0000	1	595.9	53.1908	0.000065
4600	0.7008	0.0000	0.0424	1.0000	1	595.9	50.9429	0.000065
4800	0.6566	0.0000	0.0417	1.0000	1	595.9	26.3903	0.000066
5000	0.7590	0.0000	0.0434	1.0000	1	595.9	55.1363	0.000067
5200	0.6930	0.0000	0.0431	1.0000	1	595.9	50.6464	0.000067
5400	0.6628	0.0000	0.0441	1.0000	1	595.9	77.9451	0.000068
5600	0.7388	0.0000	0.0434	1.0000	1	595.9	65.3137	0.000069
5800	0.6809	0.0000	0.0430	1.0000	1	595.9	72.3442	0.000069
6000	0.7049	0.0000	0.0430	1.0000	1	595.9	34.5244	0.000070
6200	0.6542	0.0000	0.0401	1.0000	1	595.9	74.2588	0.000071
6400	0.6914	0.0000	0.0389	1.0000	1	595.9	80.1609	0.000071
6600	0.6358	0.0000	0.0386	1.0000	1	595.9	62.3180	0.000072
6800	0.6656	0.0000	0.0415	1.0000	1	595.9	44.9056	0.000073
7000	0.6646	0.0000	0.0387	1.0000	1	595.9	38.8842	0.000073
7200	0.6421	0.0000	0.0397	1.0000	1	595.9	47.0777	0.000074
7400	0.6589	0.0000	0.0385	1.0000	1	595.9	70.9707	0.000075
7600	0.6229	0.0000	0.0389	1.0000	1	595.9	46.5272	0.000075
7800	0.6910	0.0000	0.0420	1.0000	1	595.9	99.7825	0.000076
8000	0.7195	0.0000	0.0425	1.0000	1	595.9	63.6817	0.000077
8200	0.6668	0.0000	0.0404	1.0000	1	595.9	50.2893	0.000077
8400	0.6449	0.0000	0.0409	1.0000	1	595.9	36.1181	0.000078
8600	0.6829	0.0000	0.0381	1.0000	1	595.9	104.4665	0.000079
8800	0.7045	0.0000	0.0451	1.0000	1	595.9	60.9775	0.000079
9000	0.6735	0.0000	0.0382	1.0000	1	595.9	112.4811	0.000080
9200	0.6988	0.0000	0.0389	1.0000	1	595.9	47.3637	0.000081
9400	0.6826	0.0000	0.0424	1.0000	1	595.9	30.0236	0.000081
9600	0.6580	0.0000	0.0389	1.0000	1	595.9	67.9337	0.000082
9800	0.6587	0.0000	0.0390	1.0000	1	595.9	29.1315	0.000083
10000	0.6692	0.0000	0.0412	1.0000	1	595.9	33.5135	0.000083
10200	0.6608	0.0000	0.0437	1.0000	1	595.9	50.7796	0.000084
10400	0.6153	0.0000	0.0383	1.0000	1	595.9	41.3784	0.000085
10600	0.5874	0.0000	0.0382	1.0000	1	595.9	74.3912	0.000085
10800	0.6803	0.0000	0.0400	1.0000	1	595.9	58.5027	0.000086
11000	0.6279	0.0000	0.0415	1.0000	1	595.9	58.2325	0.000087
11200	0.6470	0.0000	0.0393	1.0000	1	595.9	31.4683	0.000087
11400	0.7011	0.0000	0.0464	1.0000	1	595.9	158.0243	0.000088
11600	0.6034	0.0000	0.0402	1.0000	1	595.9	154.9960	0.000089
11800	0.6467	0.0000	0.0410	1.0000	1	595.9	51.9350	0.000089
12000	0.6540	0.0000	0.0404	1.0000	1	595.9	80.2293	0.000090
12200	0.6698	0.0000	0.0398	1.0000	1	595.9	37.1118	0.000091
12400	0.7241	0.0000	0.0411	1.0000	1	595.9	63.6968	0.000091
12600	0.6124	0.0000	0.0448	1.0000	1	595.9	60.6190	0.000092
12800	0.6881	0.0000	0.0456	1.0000	1	595.9	133.1505	0.000093
13000	0.6698	0.0000	0.0408	1.0000	1	595.9	118.5293	0.000093
13200	0.6983	0.0000	0.0460	1.0000	1	595.9	55.6658	0.000094
13400	0.6224	0.0000	0.0450	1.0000	1	595.9	208.4987	0.000095
13600	0.6412	0.0000	0.0428	1.0000	1	595.9	32.9399	0.000095
13800	0.6319	0.0000	0.0416	1.0000	1	595.9	47.0413	0.000096
14000	0.6974	0.0000	0.0453	1.0000	1	595.9	59.5857	0.000097
14200	0.6574	0.0000	0.0407	1.0000	1	595.9	93.8778	0.000097
14400	0.6442	0.0000	0.0449	1.0000	1	595.9	61.9517	0.000098
14600	0.5977	0.0000	0.0421	1.0000	1	595.9	34.1237	0.000099
14800	0.6988	0.0000	0.0419	1.0000	1	595.9	115.9104	0.000099
15000	0.6527	0.0000	0.0439	1.0000	1	595.9	377.6297	0.000100
15200	0.6663	0.3464	0.0454	1.0000	1	595.9	57.8297	0.000100
15400	0.6104	0.2905	0.0436	1.0000	1	595.9	44.1514	0.000100
15600	0.6944	0.2782	0.0500	1.0000	1	595.9	66.9601	0.000100
15800	0.7099	0.2888	0.0424	1.0000	1	595.9	156.4333	0.000100
16000	0.6531	0.2932	0.0446	1.0000	1	595.9	36.0155	0.000100
16200	0.5927	0.2924	0.0418	1.0000	1	595.9	55.5599	0.000100
16400	0.7836	0.2938	0.0427	1.0000	1	595.9	49.9579	0.000100
16600	0.6401	0.2940	0.0406	1.0000	1	595.9	66.6039	0.000099
16800	0.6646	0.2930	0.0428	1.0000	1	595.9	112.2557	0.000099
