step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
0	2.3240	0.0000	0.0345	1.0000	1	595.9	64.1531	0.000051
200	0.8174	0.8915	0.0292	1.0000	1	595.9	83.3394	0.000048
