step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
16200	0.5948	0.2981	0.0200	1.0000	1	752.0	34.3777	0.000100
16400	0.6489	0.2986	0.0202	1.0000	1	752.0	70.4423	0.000100
16600	0.5875	0.2897	0.0201	1.0000	1	752.0	41.0430	0.000099
16800	0.5915	0.3130	0.0207	1.0000	1	752.0	70.4326	0.000099
17000	0.5877	0.3001	0.0216	1.0000	1	752.0	55.4887	0.000099
17200	0.6280	0.3141	0.0196	1.0000	1	752.0	60.7920	0.000099
17400	0.6468	0.3107	0.0212	1.0000	1	752.0	57.3912	0.000099
17600	0.5925	0.3097	0.0203	1.0000	1	752.0	49.3810	0.000099
17800	0.5940	0.3135	0.0200	1.0000	1	752.0	117.4664	0.000098
18000	0.5482	0.3054	0.0200	1.0000	1	752.0	130.7621	0.000098
18200	0.5607	0.3226	0.0203	1.0000	1	752.0	57.6975	0.000098
18400	0.6007	0.2942	0.0205	1.0000	1	752.0	39.7860	0.000098
18600	0.5675	0.3251	0.0196	1.0000	1	752.0	206.7043	0.000097
18800	0.6071	0.3379	0.0211	1.0000	1	752.0	81.0623	0.000097
19000	0.5489	0.3279	0.0209	1.0000	1	752.0	130.1052	0.000097
19200	0.5945	0.3357	0.0205	1.0000	1	752.0	56.1408	0.000096
19400	0.6259	0.3203	0.0204	1.0000	1	752.0	49.8482	0.000096
19600	0.6083	0.3327	0.0197	1.0000	1	752.0	112.4673	0.000096
19800	0.5879	0.3445	0.0203	1.0000	1	752.0	55.9696	0.000095
20000	0.5759	0.3257	0.0199	1.0000	1	752.0	79.0850	0.000095
20200	0.6008	0.3506	0.0201	1.0000	1	752.0	58.1109	0.000095
20400	0.6536	0.3267	0.0209	1.0000	1	752.0	52.4589	0.000094
20600	0.6476	0.3291	0.0206	1.0000	1	752.0	66.1257	0.000094
20800	0.5917	0.3446	0.0210	1.0000	1	752.0	53.6915	0.000093
21000	0.5827	0.3547	0.0215	1.0000	1	752.0	99.7832	0.000093
21200	0.6114	0.3312	0.0201	1.0000	1	752.0	40.5111	0.000092
21400	0.6876	0.3363	0.0208	1.0000	1	752.0	49.7467	0.000092
21600	0.5859	0.3152	0.0213	1.0000	1	752.0	147.9036	0.000091
21800	0.6709	0.3205	0.0209	1.0000	1	752.0	72.5670	0.000091
22000	0.6056	0.3175	0.0202	1.0000	1	752.0	73.8949	0.000090
22200	0.6171	0.3614	0.0213	1.0000	1	752.0	76.5163	0.000090
22400	0.5853	0.3235	0.0208	1.0000	1	752.0	51.8207	0.000089
22600	0.6184	0.3424	0.0212	1.0000	1	752.0	68.1382	0.000089
22800	0.5892	0.3106	0.0212	1.0000	1	752.0	47.0737	0.000088
23000	0.6059	0.3906	0.0200	1.0000	1	752.0	45.2418	0.000088
23200	0.6389	0.3194	0.0196	1.0000	1	752.0	56.6736	0.000087
23400	0.5748	0.3495	0.0210	1.0000	1	752.0	96.4977	0.000086
23600	0.5652	0.3470	0.0205	1.0000	1	752.0	102.5044	0.000086
23800	0.5960	0.3531	0.0215	1.0000	1	752.0	116.4375	0.000085
24000	0.5551	0.3980	0.0203	1.0000	1	752.0	59.4448	0.000085
24200	0.5910	0.4088	0.0213	1.0000	1	752.0	49.4393	0.000084
24400	0.6367	0.3962	0.0206	1.0000	1	752.0	33.2090	0.000083
24600	0.5866	0.3604	0.0206	1.0000	1	752.0	233.6801	0.000083
24800	0.5771	0.3511	0.0200	1.0000	1	752.0	76.3357	0.000082
25000	0.5859	0.3381	0.0198	1.0000	1	752.0	122.8794	0.000081
25200	0.6609	0.3603	0.0216	1.0000	1	752.0	90.2437	0.000080
25400	0.6409	0.3182	0.0206	1.0000	1	752.0	565.1044	0.000080
25600	0.6290	0.3942	0.0200	1.0000	1	752.0	38.5834	0.000079
25800	0.6425	0.3761	0.0206	1.0000	1	752.0	45.3253	0.000078
26000	0.6116	0.3325	0.0218	1.0000	1	752.0	118.1340	0.000078
26200	0.6316	0.3622	0.0219	1.0000	1	752.0	55.0304	0.000077
26400	0.5624	0.3606	0.0205	1.0000	1	752.0	49.2047	0.000076
26600	0.5999	0.3866	0.0209	1.0000	1	752.0	72.8778	0.000075
